product_id,product_name,launch_datetime,category_id,description_word_count,has_video,screenshot_count,domain_type,pricing_model,featured,total_upvotes,total_comments,total_followers,total_views,success_score,success_tier,launch_date,launch_day,launch_hour,launch_month,launch_year,launch_quarter
13,Mind,2024-08-01 19:32:34,11,113,True,9,.co,Free,False,7,6,0,141,6.0,Viral,2024-08-01,Thursday,19,8,2024,3
14,ConnectPulse,2024-03-12 19:32:34,8,95,False,4,.com,Freemium,True,1,0,0,17,0.6,Low,2024-03-12,Tuesday,19,3,2024,1
15,QuickWave,2023-12-06 19:32:34,6,103,False,6,other,Open Source,False,3,0,0,57,1.7999999999999998,Medium,2023-12-06,Wednesday,19,12,2023,4
16,LogicSmart,2023-09-16 19:32:34,1,112,False,4,.com,Freemium,False,5,6,0,87,4.8,Viral,2023-09-16,Saturday,19,9,2023,3
17,InsightSync,2024-10-12 19:32:34,12,60,False,4,.io,Free Trial,False,0,0,0,0,0.0,Low,2024-10-12,Saturday,19,10,2024,4
18,HyperLogic,2025-01-03 19:32:34,1,105,True,8,.ai,Free Trial,False,0,0,0,0,0.0,Low,2025-01-03,Friday,19,1,2025,1
19,HyperCloud,2024-10-11 19:32:34,7,168,True,2,.com,Freemium,False,0,0,0,0,0.0,Low,2024-10-11,Friday,19,10,2024,4
20,ConnectData,2023-09-01 19:32:34,8,53,False,5,.app,Free,False,2,2,1,44,1.9,Medium,2023-09-01,Friday,19,9,2023,3
21,DevMind,2024-01-12 19:32:34,5,98,False,0,.ai,Paid,False,3,0,0,51,1.7999999999999998,Medium,2024-01-12,Friday,19,1,2024,1
22,VisionSync,2024-01-26 19:32:34,12,133,False,9,.tech,Freemium,False,1,0,0,19,0.6,Low,2024-01-26,Friday,19,1,2024,1
23,StreamSpark,2024-08-08 19:32:34,11,109,True,4,.ai,Paid,False,6,0,0,110,3.5999999999999996,High,2024-08-08,Thursday,19,8,2024,3
24,DataAI,2025-04-05 19:32:34,5,120,False,7,.app,Freemium,False,5,4,0,92,4.2,High,2025-04-05,Saturday,19,4,2025,2
25,BoostInsight,2024-01-25 19:32:34,4,30,True,4,.co,Freemium,False,26,2,4,493,16.599999999999998,Viral,2024-01-25,Thursday,19,1,2024,1
26,EasyData,2024-07-04 19:32:34,6,117,True,8,.app,Paid,False,11,0,4,210,7.0,Viral,2024-07-04,Thursday,19,7,2024,3
27,InsightHub,2025-02-06 19:32:34,6,77,False,10,.app,Freemium,True,5,2,0,99,3.6,High,2025-02-06,Thursday,19,2,2025,1
28,AutoMeta,2023-04-29 19:32:34,3,109,False,5,.co,Freemium,False,8,2,0,145,5.3999999999999995,Viral,2023-04-29,Saturday,19,4,2023,2
29,HyperCloud,2024-06-05 19:32:34,9,99,True,7,.co,Freemium,False,2,2,0,32,1.7999999999999998,Medium,2024-06-05,Wednesday,19,6,2024,2
30,MindPulse,2023-08-01 19:32:34,12,168,True,9,.co,Freemium,False,7,0,0,128,4.2,High,2023-08-01,Tuesday,19,8,2023,3
31,NeoLogic,2024-03-21 19:32:34,11,116,False,7,.co,Freemium,False,8,2,0,170,5.3999999999999995,Viral,2024-03-21,Thursday,19,3,2024,1
32,ScriptDeploy,2023-09-28 19:32:34,7,96,True,2,.co,Free Trial,True,6,0,0,111,3.5999999999999996,High,2023-09-28,Thursday,19,9,2023,3
33,CloudQuick,2023-08-22 19:32:34,1,54,False,6,.app,Freemium,False,0,0,0,0,0.0,Low,2023-08-22,Tuesday,19,8,2023,3
34,Mind,2023-10-20 19:32:34,7,103,False,6,.io,Freemium,False,4,5,0,73,3.9,High,2023-10-20,Friday,19,10,2023,4
35,Vision,2025-01-08 19:32:34,5,124,True,9,.io,Paid,False,10,17,0,210,11.1,Viral,2025-01-08,Wednesday,19,1,2025,1
36,Tech,2025-02-21 19:32:34,5,97,True,5,.com,Free,False,20,13,12,407,17.1,Viral,2025-02-21,Friday,19,2,2025,1
37,InsightScript,2025-01-13 19:32:34,2,84,False,6,.io,Free,True,6,0,0,114,3.5999999999999996,High,2025-01-13,Monday,19,1,2025,1
38,PulseDev,2024-04-08 19:32:34,4,82,False,1,.tech,Free Trial,False,5,4,4,77,4.6000000000000005,Viral,2024-04-08,Monday,19,4,2024,2
39,FastVision,2024-05-04 19:32:34,12,116,False,8,.io,Paid,True,0,0,0,0,0.0,Low,2024-05-04,Saturday,19,5,2024,2
40,DeepData,2023-12-08 19:32:34,6,122,False,9,.app,Freemium,False,7,0,1,137,4.3,Viral,2023-12-08,Friday,19,12,2023,4
41,SmartMeta,2023-12-12 19:32:34,10,140,False,9,.co,Freemium,False,5,4,0,101,4.2,High,2023-12-12,Tuesday,19,12,2023,4
42,HyperSync,2024-10-08 19:32:34,11,70,False,0,.co,Free,False,3,1,0,65,2.0999999999999996,High,2024-10-08,Tuesday,19,10,2024,4
43,DesignWave,2024-10-13 19:32:34,7,115,False,0,other,Freemium,False,0,0,0,0,0.0,Low,2024-10-13,Sunday,19,10,2024,4
44,Spark,2023-10-19 19:32:34,11,96,False,2,other,Freemium,False,3,2,0,59,2.4,High,2023-10-19,Thursday,19,10,2023,4
45,CloudSync,2025-01-25 19:32:34,5,97,False,2,other,Freemium,False,1,0,0,17,0.6,Low,2025-01-25,Saturday,19,1,2025,1
46,DeepInsight,2024-01-07 19:32:34,9,112,False,0,.app,Freemium,False,0,0,0,0,0.0,Low,2024-01-07,Sunday,19,1,2024,1
47,ScriptSpark,2024-06-24 19:32:34,3,112,False,6,.tech,Free,True,1,1,0,24,0.8999999999999999,Medium,2024-06-24,Monday,19,6,2024,2
48,DeepVision,2024-04-25 19:32:34,1,115,False,3,.io,Free,False,1,0,0,21,0.6,Low,2024-04-25,Thursday,19,4,2024,2
49,SmartCode,2024-04-14 19:32:34,4,68,True,9,.app,Open Source,False,1,2,0,15,1.2,Medium,2024-04-14,Sunday,19,4,2024,2
50,DevLogic,2024-04-05 19:32:34,9,77,False,1,.com,Freemium,False,3,0,0,53,1.7999999999999998,Medium,2024-04-05,Friday,19,4,2024,2
51,Code,2024-02-04 19:32:34,4,144,True,9,.co,Freemium,False,4,0,0,76,2.4,High,2024-02-04,Sunday,19,2,2024,1
52,ProVision,2023-10-21 19:32:34,2,93,True,4,other,Free,False,5,5,0,98,4.5,Viral,2023-10-21,Saturday,19,10,2023,4
53,Quick,2025-01-31 19:32:34,10,109,True,5,.ai,Free,False,0,0,0,0,0.0,Low,2025-01-31,Friday,19,1,2025,1
54,Insight,2025-01-20 19:32:34,5,131,False,8,.com,Paid,False,2,1,0,42,1.5,Medium,2025-01-20,Monday,19,1,2025,1
55,SimpleMeta,2024-07-26 19:32:34,3,113,False,3,other,Freemium,False,8,0,0,165,4.8,Viral,2024-07-26,Friday,19,7,2024,3
56,Tech,2024-11-04 19:32:34,12,116,True,1,.tech,Freemium,False,12,5,2,253,8.899999999999999,Viral,2024-11-04,Monday,19,11,2024,4
57,QuickVision,2023-10-28 19:32:34,9,126,False,4,.com,Free,False,0,0,0,0,0.0,Low,2023-10-28,Saturday,19,10,2023,4
58,DevDev,2024-04-22 19:32:34,4,36,False,2,.app,Paid,False,0,0,0,0,0.0,Low,2024-04-22,Monday,19,4,2024,2
59,VisionVision,2023-04-22 19:32:34,6,85,True,1,.io,Free,True,4,0,0,82,2.4,High,2023-04-22,Saturday,19,4,2023,2
60,HubTech,2023-12-29 19:32:34,2,114,False,0,.co,Free,False,0,0,0,0,0.0,Low,2023-12-29,Friday,19,12,2023,4
61,SyncStream,2023-06-14 19:32:34,6,141,False,9,.tech,Freemium,False,4,0,0,94,2.4,High,2023-06-14,Wednesday,19,6,2023,2
62,VisionFlow,2024-05-15 19:32:34,3,101,False,1,.tech,Free,False,0,0,0,0,0.0,Low,2024-05-15,Wednesday,19,5,2024,2
63,AI,2023-12-06 19:32:34,12,74,False,5,.ai,Free,False,1,2,0,17,1.2,Medium,2023-12-06,Wednesday,19,12,2023,4
64,SyncCloud,2025-04-04 19:32:34,12,75,False,7,.com,Freemium,False,4,6,1,71,4.299999999999999,Viral,2025-04-04,Friday,19,4,2025,2
65,ScriptInsight,2024-09-10 19:32:34,9,126,True,2,.ai,Paid,False,1,0,0,15,0.6,Low,2024-09-10,Tuesday,19,9,2024,3
66,UltraMind,2023-08-02 19:32:34,11,93,True,10,.io,Free Trial,False,14,11,4,278,12.1,Viral,2023-08-02,Wednesday,19,8,2023,3
67,CodeSync,2024-10-31 19:32:34,2,99,True,8,other,Freemium,False,3,0,0,53,1.7999999999999998,Medium,2024-10-31,Thursday,19,10,2024,4
68,Stream,2023-10-15 19:32:34,12,118,False,8,.io,Free,False,5,2,0,90,3.6,High,2023-10-15,Sunday,19,10,2023,4
69,LogicMind,2024-06-10 19:32:34,12,30,True,1,other,Free,False,4,0,0,78,2.4,High,2024-06-10,Monday,19,6,2024,2
70,Pulse,2023-06-13 19:32:34,9,160,True,7,.ai,Open Source,False,9,3,0,179,6.299999999999999,Viral,2023-06-13,Tuesday,19,6,2023,2
71,FastTech,2023-07-15 19:32:34,5,78,False,9,.co,Freemium,False,5,1,0,95,3.3,High,2023-07-15,Saturday,19,7,2023,3
72,CloudSmart,2024-03-18 19:32:34,8,107,False,10,.io,Paid,False,3,0,0,61,1.7999999999999998,Medium,2024-03-18,Monday,19,3,2024,1
73,DesignAI,2024-03-01 19:32:34,2,48,False,4,.ai,Free,False,4,0,0,60,2.4,High,2024-03-01,Friday,19,3,2024,1
74,Dev,2024-08-14 19:32:34,6,87,True,3,.com,Freemium,True,11,6,0,206,8.399999999999999,Viral,2024-08-14,Wednesday,19,8,2024,3
75,RapidBot,2023-09-06 19:32:34,3,137,True,9,.ai,Free,False,13,12,1,272,11.499999999999998,Viral,2023-09-06,Wednesday,19,9,2023,3
76,HyperPixel,2023-07-09 19:32:34,12,42,False,4,.ai,Freemium,False,3,0,0,60,1.7999999999999998,Medium,2023-07-09,Sunday,19,7,2023,3
77,FastSync,2024-12-25 19:32:34,12,133,True,3,.app,Free Trial,False,0,0,0,0,0.0,Low,2024-12-25,Wednesday,19,12,2024,4
78,CodeHub,2023-07-13 19:32:34,10,91,True,7,.io,Open Source,False,7,4,0,133,5.4,Viral,2023-07-13,Thursday,19,7,2023,3
79,ConnectScript,2024-12-26 19:32:34,5,114,False,3,.co,Freemium,False,4,0,0,89,2.4,High,2024-12-26,Thursday,19,12,2024,4
80,MetaFlow,2023-11-01 19:32:34,12,119,False,9,.co,Freemium,False,11,1,0,213,6.8999999999999995,Viral,2023-11-01,Wednesday,19,11,2023,4
81,Wave,2024-09-17 19:32:34,8,113,False,5,.app,Free Trial,False,3,0,0,66,1.7999999999999998,Medium,2024-09-17,Tuesday,19,9,2024,3
82,DeepFlow,2023-12-03 19:32:34,10,74,False,1,other,Paid,False,0,0,0,0,0.0,Low,2023-12-03,Sunday,19,12,2023,4
83,ScriptMind,2024-12-31 19:32:34,1,89,False,4,.tech,Free,False,0,0,0,0,0.0,Low,2024-12-31,Tuesday,19,12,2024,4
84,ConnectFlow,2023-07-04 19:32:34,5,56,True,5,other,Freemium,False,15,5,2,314,10.7,Viral,2023-07-04,Tuesday,19,7,2023,3
85,VisionPulse,2025-01-10 19:32:34,3,114,False,4,.co,Free,False,0,0,0,0,0.0,Low,2025-01-10,Friday,19,1,2025,1
86,PulseInsight,2024-03-02 19:32:34,4,151,True,1,.ai,Freemium,False,0,0,0,0,0.0,Low,2024-03-02,Saturday,19,3,2024,1
87,SuperLogic,2025-03-25 19:32:34,2,45,True,6,.app,Freemium,False,7,0,0,141,4.2,High,2025-03-25,Tuesday,19,3,2025,1
88,SmartSmart,2024-01-24 19:32:34,9,77,False,3,.com,Freemium,False,0,0,0,0,0.0,Low,2024-01-24,Wednesday,19,1,2024,1
89,Insight,2024-11-13 19:32:34,3,94,True,7,.io,Freemium,False,7,1,0,119,4.5,Viral,2024-11-13,Wednesday,19,11,2024,4
90,NeoData,2024-02-03 19:32:34,2,105,False,6,.io,Free,False,4,0,0,81,2.4,High,2024-02-03,Saturday,19,2,2024,1
91,CloudLogic,2024-11-19 19:32:34,10,126,True,6,.io,Freemium,False,5,0,0,98,3.0,High,2024-11-19,Tuesday,19,11,2024,4
92,SmartPulse,2024-12-24 19:32:34,11,95,False,8,.ai,Free Trial,False,0,0,0,0,0.0,Low,2024-12-24,Tuesday,19,12,2024,4
93,HyperBot,2024-12-02 19:32:34,9,90,False,0,.com,Paid,False,2,0,0,37,1.2,Medium,2024-12-02,Monday,19,12,2024,4
94,HyperPixel,2024-03-02 19:32:34,7,133,True,9,.app,Freemium,False,1,0,0,24,0.6,Low,2024-03-02,Saturday,19,3,2024,1
95,ProApp,2024-04-09 19:32:34,6,119,True,5,.app,Free Trial,True,10,4,0,190,7.2,Viral,2024-04-09,Tuesday,19,4,2024,2
96,UltraDeploy,2024-11-15 19:32:34,1,116,False,5,.io,Free Trial,False,4,0,0,82,2.4,High,2024-11-15,Friday,19,11,2024,4
97,DevInsight,2024-07-16 19:32:34,5,103,False,5,.com,Free,False,3,0,0,53,1.7999999999999998,Medium,2024-07-16,Tuesday,19,7,2024,3
98,QuickTech,2024-11-19 19:32:34,12,129,False,5,.com,Free,True,18,6,0,402,12.599999999999998,Viral,2024-11-19,Tuesday,19,11,2024,4
99,SmartConnect,2023-09-24 19:32:34,11,80,False,9,.com,Paid,False,0,0,0,0,0.0,Low,2023-09-24,Sunday,19,9,2023,3
100,FlowMind,2024-11-19 19:32:34,11,76,False,6,.co,Free Trial,False,2,0,0,38,1.2,Medium,2024-11-19,Tuesday,19,11,2024,4
101,FlowSpark,2024-12-19 19:32:34,3,122,False,9,.co,Open Source,False,13,6,0,252,9.6,Viral,2024-12-19,Thursday,19,12,2024,4
102,HyperCode,2024-12-01 19:32:34,1,51,False,5,.io,Free Trial,True,2,0,0,37,1.2,Medium,2024-12-01,Sunday,19,12,2024,4
103,PixelBot,2025-04-12 19:32:34,4,102,False,0,.com,Freemium,False,2,0,0,43,1.2,Medium,2025-04-12,Saturday,19,4,2025,2
104,ProScript,2024-12-09 19:32:34,2,90,False,2,.tech,Freemium,False,0,0,0,0,0.0,Low,2024-12-09,Monday,19,12,2024,4
105,Design,2024-09-18 19:32:34,2,57,False,1,.com,Free,False,5,1,0,101,3.3,High,2024-09-18,Wednesday,19,9,2024,3
106,DataData,2024-06-29 19:32:34,3,72,False,5,.app,Free,False,3,0,0,59,1.7999999999999998,Medium,2024-06-29,Saturday,19,6,2024,2
107,BoostFlow,2023-06-04 19:32:34,8,96,False,7,.app,Freemium,False,2,0,0,38,1.2,Medium,2023-06-04,Sunday,19,6,2023,2
108,QuickBot,2023-09-30 19:32:34,8,131,False,2,.io,Freemium,False,1,0,0,18,0.6,Low,2023-09-30,Saturday,19,9,2023,3
109,SmartTech,2024-11-04 19:32:34,12,80,True,9,.tech,Freemium,True,3,0,0,53,1.7999999999999998,Medium,2024-11-04,Monday,19,11,2024,4
110,LogicDev,2024-10-23 19:32:34,7,136,True,7,.com,Paid,False,7,3,0,135,5.1,Viral,2024-10-23,Wednesday,19,10,2024,4
111,CloudDev,2024-12-18 19:32:34,6,101,False,7,other,Free,False,9,7,1,187,7.6,Viral,2024-12-18,Wednesday,19,12,2024,4
112,ScriptPulse,2024-01-17 19:32:34,9,139,False,4,.tech,Freemium,False,5,3,0,103,3.9,High,2024-01-17,Wednesday,19,1,2024,1
113,Pulse,2024-10-24 19:32:34,4,81,False,7,.io,Free,False,6,9,0,118,6.299999999999999,Viral,2024-10-24,Thursday,19,10,2024,4
114,Tech,2024-11-14 19:32:34,12,98,True,5,.app,Freemium,True,9,5,0,187,6.8999999999999995,Viral,2024-11-14,Thursday,19,11,2024,4
115,HyperDesign,2023-08-18 19:32:34,1,111,False,4,other,Paid,False,3,4,0,61,3.0,High,2023-08-18,Friday,19,8,2023,3
116,Pixel,2023-08-24 19:32:34,8,94,False,8,.app,Paid,False,4,0,0,85,2.4,High,2023-08-24,Thursday,19,8,2023,3
117,Dev,2024-12-06 19:32:34,7,128,True,6,.co,Open Source,False,0,0,0,0,0.0,Low,2024-12-06,Friday,19,12,2024,4
118,DevDev,2024-11-08 19:32:34,7,33,False,7,.io,Free,True,0,0,0,0,0.0,Low,2024-11-08,Friday,19,11,2024,4
119,App,2024-11-10 19:32:34,3,172,False,0,.io,Freemium,False,1,1,0,24,0.8999999999999999,Medium,2024-11-10,Sunday,19,11,2024,4
120,SuperDeploy,2024-08-26 19:32:34,4,125,False,10,.com,Freemium,False,0,0,0,0,0.0,Low,2024-08-26,Monday,19,8,2024,3
121,Stream,2024-03-29 19:32:34,10,94,False,1,.com,Freemium,False,3,0,0,59,1.7999999999999998,Medium,2024-03-29,Friday,19,3,2024,1
122,AI,2024-12-18 19:32:34,9,83,False,7,.co,Free Trial,False,10,0,0,182,6.0,Viral,2024-12-18,Wednesday,19,12,2024,4
123,SmartLogic,2024-04-24 19:32:34,6,74,False,8,other,Paid,True,3,1,0,59,2.0999999999999996,High,2024-04-24,Wednesday,19,4,2024,2
124,SparkSmart,2024-03-16 19:32:34,5,119,False,3,.ai,Free Trial,False,0,0,0,0,0.0,Low,2024-03-16,Saturday,19,3,2024,1
125,LogicCloud,2025-02-13 19:32:34,3,129,False,9,.tech,Free,False,4,0,0,77,2.4,High,2025-02-13,Thursday,19,2,2025,1
126,BoostData,2024-09-12 19:32:34,9,95,False,10,.ai,Free Trial,False,1,1,0,18,0.8999999999999999,Medium,2024-09-12,Thursday,19,9,2024,3
127,Hub,2023-08-19 19:32:34,5,133,False,9,.ai,Free,False,3,0,0,51,1.7999999999999998,Medium,2023-08-19,Saturday,19,8,2023,3
128,Cloud,2024-08-16 19:32:34,5,72,True,8,.io,Free Trial,False,7,5,1,135,5.8,Viral,2024-08-16,Friday,19,8,2024,3
129,CodeLogic,2023-12-17 19:32:34,4,67,False,3,.tech,Freemium,False,0,0,0,0,0.0,Low,2023-12-17,Sunday,19,12,2023,4
130,SimpleVision,2023-04-29 19:32:34,4,154,True,9,.io,Freemium,False,6,0,0,117,3.5999999999999996,High,2023-04-29,Saturday,19,4,2023,2
131,SuperPro,2024-08-01 19:32:34,12,117,False,9,.tech,Freemium,False,4,0,0,70,2.4,High,2024-08-01,Thursday,19,8,2024,3
132,DesignAI,2024-01-20 19:32:34,1,141,False,9,.app,Free Trial,False,2,0,0,40,1.2,Medium,2024-01-20,Saturday,19,1,2024,1
133,VisionVision,2024-07-24 19:32:34,7,74,True,8,.io,Free,False,3,0,0,58,1.7999999999999998,Medium,2024-07-24,Wednesday,19,7,2024,3
134,ConnectConnect,2023-06-03 19:32:34,9,72,False,10,.io,Freemium,False,1,0,0,15,0.6,Low,2023-06-03,Saturday,19,6,2023,2
135,Vision,2023-05-24 19:32:34,3,89,True,6,.io,Free Trial,False,6,5,0,138,5.1,Viral,2023-05-24,Wednesday,19,5,2023,2
136,SmartBot,2025-04-01 19:32:34,12,75,False,1,other,Freemium,False,6,5,0,119,5.1,Viral,2025-04-01,Tuesday,19,4,2025,2
137,NeoDesign,2025-01-27 19:32:34,2,121,False,8,.co,Free,False,4,4,0,85,3.5999999999999996,High,2025-01-27,Monday,19,1,2025,1
138,FastCode,2025-03-25 19:32:34,3,77,False,3,.io,Freemium,False,0,0,0,0,0.0,Low,2025-03-25,Tuesday,19,3,2025,1
139,CodeCloud,2024-06-20 19:32:34,1,64,True,7,.com,Freemium,False,7,0,0,152,4.2,High,2024-06-20,Thursday,19,6,2024,2
140,Insight,2024-07-06 19:32:34,6,104,True,6,.com,Free Trial,False,1,0,0,16,0.6,Low,2024-07-06,Saturday,19,7,2024,3
141,AI,2024-03-24 19:32:34,11,61,False,6,.tech,Paid,True,2,0,0,39,1.2,Medium,2024-03-24,Sunday,19,3,2024,1
142,CloudPulse,2024-06-20 19:32:34,11,46,False,7,.app,Freemium,False,1,0,0,22,0.6,Low,2024-06-20,Thursday,19,6,2024,2
143,ProPixel,2024-05-15 19:32:34,7,103,False,0,.co,Open Source,False,6,2,0,125,4.199999999999999,High,2024-05-15,Wednesday,19,5,2024,2
144,DeployStream,2023-12-21 19:32:34,11,47,False,4,other,Freemium,False,3,0,0,50,1.7999999999999998,Medium,2023-12-21,Thursday,19,12,2023,4
145,DesignPixel,2023-07-02 19:32:34,11,123,False,1,.tech,Free,False,2,0,0,46,1.2,Medium,2023-07-02,Sunday,19,7,2023,3
146,ConnectFlow,2024-05-10 19:32:34,2,58,False,1,.com,Free,False,1,0,0,19,0.6,Low,2024-05-10,Friday,19,5,2024,2
147,DevDesign,2024-07-10 19:32:34,8,32,False,0,.co,Freemium,False,5,0,0,91,3.0,High,2024-07-10,Wednesday,19,7,2024,3
148,SuperSmart,2024-12-03 19:32:34,6,91,True,4,.co,Free,False,1,0,0,21,0.6,Low,2024-12-03,Tuesday,19,12,2024,4
149,AppPro,2023-09-25 19:32:34,4,104,True,1,.app,Free Trial,False,0,0,0,0,0.0,Low,2023-09-25,Monday,19,9,2023,3
150,ConnectMind,2024-02-01 19:32:34,5,114,False,3,.co,Paid,False,1,0,0,20,0.6,Low,2024-02-01,Thursday,19,2,2024,1
151,Meta,2023-06-02 19:32:34,8,105,True,2,.io,Free,False,7,4,0,151,5.4,Viral,2023-06-02,Friday,19,6,2023,2
152,PixelTech,2023-07-28 19:32:34,3,68,False,2,.co,Freemium,False,0,0,0,0,0.0,Low,2023-07-28,Friday,19,7,2023,3
153,QuickDesign,2023-11-04 19:32:34,3,121,False,1,.app,Paid,False,3,3,0,64,2.6999999999999997,High,2023-11-04,Saturday,19,11,2023,4
154,NeoConnect,2023-07-19 19:32:34,11,128,True,5,.tech,Free Trial,False,4,7,0,82,4.5,Viral,2023-07-19,Wednesday,19,7,2023,3
155,Hub,2023-10-02 19:32:34,4,63,True,1,.app,Free Trial,False,4,0,0,87,2.4,High,2023-10-02,Monday,19,10,2023,4
156,AIScript,2023-05-09 19:32:34,1,94,False,7,other,Freemium,False,7,3,0,124,5.1,Viral,2023-05-09,Tuesday,19,5,2023,2
157,EasyConnect,2024-11-22 19:32:34,9,91,False,7,.app,Paid,True,6,4,1,119,4.8999999999999995,Viral,2024-11-22,Friday,19,11,2024,4
158,AutoLogic,2024-02-27 19:32:34,8,106,False,4,.com,Freemium,False,6,4,0,110,4.8,Viral,2024-02-27,Tuesday,19,2,2024,1
159,SparkDeploy,2024-03-28 19:32:34,8,93,False,9,.io,Freemium,False,4,0,0,78,2.4,High,2024-03-28,Thursday,19,3,2024,1
160,SimpleHub,2023-05-03 19:32:34,10,97,False,6,.com,Free,False,14,20,1,285,14.5,Viral,2023-05-03,Wednesday,19,5,2023,2
161,AppConnect,2024-01-07 19:32:34,6,119,False,3,.tech,Free,False,4,0,2,71,2.6,High,2024-01-07,Sunday,19,1,2024,1
162,AutoSync,2024-04-28 19:32:34,7,66,False,0,.ai,Freemium,False,0,0,0,0,0.0,Low,2024-04-28,Sunday,19,4,2024,2
163,EasyData,2023-10-07 19:32:34,6,122,False,10,.tech,Free,False,2,0,0,40,1.2,Medium,2023-10-07,Saturday,19,10,2023,4
164,ProBot,2024-12-24 19:32:34,9,134,False,1,.io,Free,True,5,4,0,108,4.2,High,2024-12-24,Tuesday,19,12,2024,4
165,LogicSmart,2024-10-16 19:32:34,3,149,True,9,.co,Paid,False,1,0,0,23,0.6,Low,2024-10-16,Wednesday,19,10,2024,4
166,Tech,2024-05-07 19:32:34,3,35,False,9,.app,Free,False,9,0,0,187,5.3999999999999995,Viral,2024-05-07,Tuesday,19,5,2024,2
167,QuickMeta,2024-06-03 19:32:34,3,94,False,3,.ai,Freemium,False,3,0,0,60,1.7999999999999998,Medium,2024-06-03,Monday,19,6,2024,2
168,ProMind,2024-01-22 19:32:34,10,41,True,0,.io,Freemium,False,0,0,0,0,0.0,Low,2024-01-22,Monday,19,1,2024,1
169,BotQuick,2024-08-06 19:32:34,3,30,True,7,.com,Open Source,False,5,10,0,98,6.0,Viral,2024-08-06,Tuesday,19,8,2024,3
170,SuperDev,2023-09-22 19:32:34,9,104,False,8,.app,Freemium,False,1,0,0,21,0.6,Low,2023-09-22,Friday,19,9,2023,3
171,SuperHub,2025-02-27 19:32:34,12,88,False,3,.tech,Free,False,0,0,0,0,0.0,Low,2025-02-27,Thursday,19,2,2025,1
172,PixelMeta,2024-03-01 19:32:34,4,108,False,9,.com,Freemium,False,3,0,0,55,1.7999999999999998,Medium,2024-03-01,Friday,19,3,2024,1
173,DevVision,2024-01-31 19:32:34,7,114,True,2,.io,Free Trial,False,9,3,0,185,6.299999999999999,Viral,2024-01-31,Wednesday,19,1,2024,1
174,TechScript,2025-03-31 19:32:34,9,137,True,1,.io,Open Source,False,2,2,0,44,1.7999999999999998,Medium,2025-03-31,Monday,19,3,2025,1
175,SuperVision,2024-04-06 19:32:34,11,101,False,4,.tech,Freemium,False,3,0,0,57,1.7999999999999998,Medium,2024-04-06,Saturday,19,4,2024,2
176,SmartCloud,2023-11-01 19:32:34,12,187,False,2,.ai,Freemium,False,0,0,0,0,0.0,Low,2023-11-01,Wednesday,19,11,2023,4
177,AutoDev,2024-08-06 19:32:34,7,109,False,9,.tech,Free Trial,False,3,0,0,55,1.7999999999999998,Medium,2024-08-06,Tuesday,19,8,2024,3
178,DataMind,2024-05-30 19:32:34,9,155,False,6,.co,Free,False,4,1,0,74,2.6999999999999997,High,2024-05-30,Thursday,19,5,2024,2
179,Mind,2024-03-16 19:32:34,12,30,False,10,.com,Freemium,False,6,3,4,115,4.9,Viral,2024-03-16,Saturday,19,3,2024,1
180,HubTech,2023-12-28 19:32:34,3,140,False,5,.ai,Freemium,False,1,0,0,18,0.6,Low,2023-12-28,Thursday,19,12,2023,4
